PLAYER;POS;TEAM;AGE;GP;W;L;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;TOV;STL;BLK;PF;FP;DD2;TD3;PLUS
Noah Vonleh;C;MIN;24;29;10;19;347;119;47;86;54.7;2;14;14.3;23;28;82.1;34;82;116;26;19;11;6;36;329.2;0;0;-48
Willy Hernangomez;C;CHA;25;20;2;18;183;111;42;74;56.8;5;16;31.3;22;38;57.9;22;39;61;10;15;5;5;21;214.2;1;0;-38
Isaiah Hartenstein;C;HOU;21;20;14;6;248;102;42;61;68.9;0;3;0;18;26;69.2;27;59;86;16;15;8;12;38;274.2;2;0;58
Robert Williams III;C;BOS;22;19;14;5;269;74;33;49;67.3;0;0;0;8;14;57.1;23;64;87;21;16;17;21;34;307.9;0;0;2
Kyle O'Quinn;C;PHI;29;21;15;6;217;70;30;61;49.2;7;21;33.3;3;8;37.5;23;54;77;31;18;4;17;29;253.9;1;0;-39
Ante Zizic;C;CLE;23;16;2;14;159;69;28;49;57.1;0;0;0;13;15;86.7;14;41;55;3;5;6;4;20;164.5;1;0;2
Tyson Chandler;C;HOU;37;25;15;10;219;34;14;18;77.8;0;0;0;6;13;46.2;25;41;66;6;8;6;8;32;156.2;0;0;33
Ed Davis;C;UTA;30;25;15;10;268;33;14;34;41.2;0;0;0;5;11;45.5;29;66;95;8;13;10;9;55;203;0;0;-88
Mfiondu Kabengele;C;LAC;22;10;8;2;44;29;10;22;45.5;6;12;50;3;3;100;1;7;8;1;1;1;1;6;45.1;0;0;-1
Kevon Looney;C;GSW;23;11;4;7;117;28;11;34;32.4;1;2;50;5;7;71.4;18;15;33;4;6;5;3;17;91.6;0;0;-61
Vincent Poirier;C;BOS;26;16;14;2;92;28;11;26;42.3;1;2;50;5;6;83.3;9;21;30;5;5;2;6;20;90.5;0;0;-11
Tacko Fall;C;BOS;24;5;4;1;23;19;9;12;75;0;0;0;1;3;33.3;0;10;10;0;3;0;2;5;34;0;0;4
Moses Brown;C;POR;20;7;4;3;23;10;4;9;44.4;0;0;0;2;4;50;3;8;11;0;3;1;0;5;23.2;0;0;-36
Justin Patton;C;OKC;22;5;2;3;24;9;4;10;40;1;4;25;0;0;0;1;4;5;2;2;0;0;4;16;0;0;-16
Dewan Hernandez;C;TOR;23;4;4;0;11;4;1;5;20;0;1;0;2;2;100;2;5;7;0;1;1;0;6;14.4;0;0;1
Wilson Chandler;F;BKN;32;20;7;13;409;127;47;104;45.2;19;61;31.1;14;16;87.5;6;82;88;21;23;12;7;42;298.1;0;0;-107
Naz Reid;F;MIN;20;15;4;11;157;96;36;91;39.6;15;49;30.6;9;14;64.3;10;22;32;13;9;5;6;30;177.9;0;0;21
Alen Smailagic;F;GSW;19;9;1;8;92;42;16;29;55.2;2;9;22.2;8;10;80;7;15;22;8;5;1;3;10;87.4;0;0;3
Johnathan Williams;F;WAS;24;10;5;5;134;35;16;25;64;0;2;0;3;5;60;15;28;43;6;4;1;6;11;112.6;0;0;-47
Rayjon Tucker;F;UTA;22;12;10;2;74;19;8;19;42.1;0;6;0;3;5;60;2;9;11;2;3;1;0;7;35.2;0;0;-8
Louis King;F;DET;20;8;2;6;50;17;7;17;41.2;3;8;37.5;0;3;0;1;7;8;5;2;2;0;9;38.1;0;0;20
Kevin Hervey;F;OKC;23;6;3;3;13;0;0;5;0;0;4;0;0;0;0;0;2;2;1;0;0;0;1;3.9;0;0;-4
Vic Law;F;ORL;24;2;0;2;4;0;0;1;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3
Gary Payton II;G;WAS;27;20;9;11;392;101;43;104;41.3;11;39;28.2;4;8;50;25;48;73;44;19;32;7;43;352.6;1;0;-126
Luguentz Dort;G;OKC;20;15;12;3;318;95;33;77;42.9;13;38;34.2;16;22;72.7;5;14;19;12;10;13;1;45;167.8;0;0;16
Amir Coffey;G;LAC;22;2;1;1;5;5;2;3;66.7;1;2;50;0;0;0;0;0;0;1;0;0;0;1;6.5;0;0;-6
Justin Anderson;G;BKN;26;3;2;1;17;3;1;6;16.7;0;3;0;1;2;50;0;2;2;0;0;0;1;2;8.4;0;0;-8
Matt Mooney;G;CLE;22;2;0;2;5;2;1;2;50;0;1;0;0;0;0;0;1;1;1;0;0;1;1;7.7;0;0;2
Adam Mokoka;G;CHI;21;5;1;4;17;0;0;9;0;0;4;0;0;0;0;4;0;4;0;0;1;0;0;7.8;0;0;1
Josh Reaves;G;DAL;22;2;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-5
Giannis Antetokounmpo;PF;MIL;25;45;38;7;1381;1350;498;904;55.1;71;225;31.6;283;467;60.6;111;480;591;259;163;50;48;140;2578.7;40;4;443
Brandon Ingram;PF;NOP;22;45;17;28;1544;1122;384;818;46.9;113;281;40.2;241;280;86.1;40;250;290;193;136;41;34;128;1848.5;8;0;-70
Anthony Davis;PF;LAL;26;41;32;9;1417;1090;376;738;50.9;46;145;31.7;292;337;86.6;85;290;375;136;99;62;102;102;2137;19;0;193
Jayson Tatum;PF;BOS;21;44;31;13;1478;948;346;796;43.5;105;287;36.6;151;180;83.9;44;255;299;126;92;60;37;90;1694.8;6;0;370
Pascal Siakam;PF;TOR;25;39;30;9;1356;923;343;743;46.2;84;229;36.7;153;191;80.1;48;250;298;134;97;38;36;111;1606.6;10;0;284
Julius Randle;PF;NYK;25;48;14;34;1554;908;336;752;44.7;53;197;26.9;183;259;70.7;111;346;457;156;144;38;13;134;1699.4;21;0;-179
Marcus Morris Sr.;PF;NYK;30;42;13;29;1351;815;273;621;44;114;260;43.8;155;190;81.6;47;184;231;58;72;33;17;125;1257.2;3;0;-123
Danilo Gallinari;PF;OKC;31;42;23;19;1285;806;248;562;44.1;127;310;41;183;202;90.6;29;209;238;97;57;28;4;51;1276.1;3;0;134
Kevin Love;PF;CLE;31;43;11;32;1338;749;251;555;45.2;110;290;37.9;137;162;84.6;37;383;420;125;109;26;14;67;1451.5;18;0;-273
Lauri Markkanen;PF;CHI;22;46;17;29;1395;690;233;550;42.4;101;294;34.4;123;149;82.6;57;241;298;70;77;39;22;92;1258.6;3;0;-76
Kristaps Porzingis;PF;DAL;24;37;22;15;1128;638;225;557;40.4;79;233;33.9;109;147;74.1;63;269;332;52;64;24;72;115;1338.4;14;0;141
Eric Paschall;PF;GSW;23;45;10;35;1205;606;231;471;49;26;92;28.3;118;149;79.2;62;146;208;78;66;25;10;94;1011.6;3;0;-264
Robert Covington;PF;MIN;29;47;15;32;1381;600;210;481;43.7;105;303;34.7;75;94;79.8;33;246;279;54;72;77;44;145;1306.8;3;0;-22
Nemanja Bjelica;PF;SAC;31;49;18;31;1383;597;226;470;48.1;97;224;43.3;48;56;85.7;82;232;314;133;73;43;29;150;1316.3;6;0;-76
Aaron Gordon;PF;ORL;24;43;19;24;1365;581;221;527;41.9;50;168;29.8;89;134;66.4;70;236;306;122;66;31;21;83;1221.2;11;0;-126
Davis Bertans;PF;WAS;27;39;13;26;1141;580;187;434;43.1;139;329;42.2;67;76;88.2;31;150;181;67;37;28;26;98;1022.7;1;0;8
Duncan Robinson;PF;MIA;25;48;33;15;1357;579;194;421;46.1;161;368;43.8;30;33;90.9;7;148;155;57;35;25;12;136;926.5;1;0;170
Al Horford;PF;PHI;33;45;27;18;1398;561;230;512;44.9;62;196;31.6;39;54;72.2;72;232;304;180;50;42;40;99;1391.8;4;0;122
Jerami Grant;PF;DEN;25;50;34;16;1297;560;198;428;46.3;67;170;39.4;97;135;71.9;47;133;180;56;42;31;45;104;1046;0;0;-82
Carmelo Anthony;PF;POR;35;34;16;18;1105;537;205;481;42.6;48;130;36.9;79;94;84;44;181;225;53;61;31;18;102;972.5;4;0;-2
P.J. Washington;PF;CHA;21;43;15;28;1294;524;197;413;47.7;59;147;40.1;71;108;65.7;35;195;230;88;68;39;36;120;1089;4;0;-138
Brandon Clarke;PF;MEM;23;42;23;19;912;511;214;342;62.6;18;45;40;65;78;83.3;56;186;242;62;39;21;36;71;1026.4;2;0;-11
Doug McDermott;PF;IND;28;49;31;18;1026;509;191;396;48.2;96;211;45.5;31;39;79.5;22;107;129;55;32;7;4;85;747.3;0;0;103
Kyle Kuzma;PF;LAL;24;39;31;8;970;507;186;431;43.2;60;180;33.3;75;101;74.3;34;130;164;40;61;11;16;71;783.8;1;0;109
Thaddeus Young;PF;CHI;31;51;19;32;1195;491;200;452;44.2;57;167;34.1;34;58;58.6;70;165;235;90;75;59;15;99;1055;0;0;-106
Jabari Parker;PF;ATL;24;32;6;26;837;480;198;393;50.4;31;115;27;53;72;73.6;54;137;191;58;60;42;15;93;907.2;2;0;-133
Christian Wood;PF;DET;24;47;18;29;814;476;165;289;57.1;29;79;36.7;117;159;73.6;58;190;248;32;52;20;39;61;946.6;5;0;61
John Collins;PF;ATL;22;24;8;16;733;463;189;344;54.9;30;88;34.1;55;69;79.7;61;184;245;27;41;16;42;90;930.5;12;0;-116
