PLAYER;POS;TEAM;AGE;GP;W;L;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;TOV;STL;BLK;PF;FP;DD2;TD3;PLUS
Udonis Haslem;PF;MIA;39;1;1;0;5;2;1;1;100;0;0;0;0;0;0;0;2;2;0;0;0;0;2;4.4;0;0;-3
Vince Carter;SF;ATL;42;8;3;5;116;41;16;40;40;4;24;16.7;5;6;83.3;1;16;17;4;3;4;1;11;79.4;0;0;37
Vincent Poirier;C;BOS;26;5;5;0;29;7;3;8;37.5;0;0;0;1;2;50;5;3;8;3;3;1;2;6;27.1;0;0;12
Vlatko Cancar;SF;DEN;22;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Wayne Ellington;SG;NYK;31;11;3;8;147;42;15;46;32.6;12;41;29.3;0;1;0;0;17;17;9;8;2;1;10;76.9;0;0;1
Wendell Carter Jr.;C;CHI;20;14;4;10;389;183;71;120;59.2;1;10;10;40;57;70.2;49;86;135;11;19;4;12;60;390.5;8;0;12
Wenyen Gabriel;PF;SAC;22;6;1;5;39;11;3;13;23.1;1;7;14.3;4;7;57.1;4;3;7;3;3;1;1;5;26.9;0;0;-3
Wes Iwundu;SF;ORL;24;5;3;2;47;8;1;11;9.1;0;5;0;6;8;75;1;9;10;2;2;1;1;2;27;0;0;-44
Wesley Matthews;SG;MIL;33;13;10;3;306;84;28;70;40;16;50;32;12;16;75;1;28;29;12;9;10;1;13;160.8;0;0;98
Will Barton;SG;DEN;28;10;8;2;322;148;53;121;43.8;18;39;46.2;24;33;72.7;17;57;74;27;12;11;6;18;316.3;3;0;92
Willie Cauley-Stein;C;GSW;26;12;2;10;259;97;44;72;61.1;0;0;0;9;11;81.8;15;62;77;19;9;13;14;34;289.9;0;0;-47
Willy Hernangomez;C;CHA;25;4;0;4;38;16;6;12;50;1;3;33.3;3;6;50;5;4;9;2;3;1;3;1;38.8;0;0;-22
Yogi Ferrell;PG;SAC;26;9;4;5;105;46;14;32;43.8;5;13;38.5;13;15;86.7;1;8;9;10;6;2;1;9;74.8;0;0;10
Yuta Watanabe;SG;MEM;25;1;0;1;3;4;2;2;100;0;0;0;0;0;0;0;1;1;0;0;0;0;1;5.2;0;0;5
Zach Collins;PF;POR;22;3;2;1;86;27;9;19;47.4;3;7;42.9;6;6;100;4;8;12;6;6;0;2;11;50.4;0;0;19
Zach LaVine;SG;CHI;24;14;4;10;445;292;104;248;41.9;35;98;35.7;49;61;80.3;15;45;60;58;48;17;7;38;475;0;0;-82
Zach Norvell Jr.;SG;LAL;21;2;2;0;5;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1.2;0;0;-4
Zylan Cheatham;SF;NOP;24;2;1;1;20;2;1;4;25;0;1;0;0;0;0;0;3;3;1;1;0;0;3;6.1;0;0;-23
